name,concentration
Anderson,20.78
Andrews,28.21
Angelina,30.75
Aransas,23.46
Archer,11.35
Armstrong,53.22
Atascosa,26.54
Austin,30.22
Bailey,42.39
Bandera,13.42
Bastrop,17.7
Baylor,83.78
Bee,24.57
Bell,16.96
Bexar,24.05
Blanco,25.8
Borden,0
Bosque,32.74
Bowie,38.29
Brazoria,28.42
Brazos,24.68
Brewster,53.55
Briscoe,0
Brooks,41.47
Brown,39.42
Burleson,22.21
Burnet,29.91
Caldwell,23.62
Calhoun,27.59
Callahan,14.34
Cameron,22.89
Camp,31.12
Carson,16.58
Cass,26.66
Castro,38.25
Chambers,21.72
Cherokee,28.71
Childress,56.6
Clay,19.19
Cochran,35.08
Coke,0
Coleman,23.72
Collin,29.7
Collingsworth,66.96
Colorado,37.68
Comal,29.79
Comanche,36.84
Concho,73.61
Cooke,27.57
Coryell,16.02
Cottle,0
Crane,42.19
Crockett,28.06
Crosby,33.9
Culberson,89.65
Dallam,41.62
Dallas,28.26
Dawson,39.02
DeWitt,31.85
Deaf Smith,18.88
Delta,23.68
Denton,29.66
Dickens,45.27
Dimmit,47.99
Donley,60.4
Duval,8.87
Eastland,27.16
Ector,24.19
Edwards,0
Ellis,22.46
El Paso,20.82
Erath,26.21
Falls,34.41
Fannin,23.22
Fayette,23.74
Fisher,103.09
Floyd,51.24
Foard,81.83
Fort Bend,31.77
Franklin,18.58
Freestone,25.48
Frio,35.71
Gaines,19.38
Galveston,25.97
Garza,15.32
Gillespie,30.02
Glasscock,0
Goliad,26.45
Gonzales,28.72
Gray,31.24
Grayson,35.84
Gregg,36.48
Grimes,21.37
Guadalupe,15.03
Hale,29.3
Hall,32.56
Hamilton,59.37
Hansford,36.72
Hardeman,75.11
Hardin,26.25
Harris,30.43
Harrison,18
Hartley,0
Haskell,34.81
Hays,23.31
Hemphill,49.7
Henderson,22.2
Hidalgo,21.26
Hill,25.1
Hockley,21.66
Hood,22.31
Hopkins,27.4
Houston,21.72
Howard,27.75
Hudspeth,22.69
Hunt,25.57
Hutchinson,28.07
Irion,0
Jack,22.64
Jackson,33.77
Jasper,33.74
Jeff Davis,0
Jefferson,33.55
Jim Hogg,19.22
Jim Wells,22.02
Johnson,23.31
Jones,30.03
Karnes,46.09
Kaufman,18.72
Kendall,29.53
Kenedy,0
Kent,0
Kerr,30.94
Kimble,45.35
King,0
Kinney,26.7
Kleberg,35.38
Knox,53.91
La Salle,38.32
Lamar,30.28
Lamb,23.78
Lampasas,39.56
Lavaca,49.85
Lee,17.46
Leon,34.8
Liberty,23.91
Limestone,34
Lipscomb,29.6
Live Oak,24.64
Llano,23.57
Loving,0
Lubbock,30.47
Lynn,34.14
McCulloch,50.27
McLennan,23.08
McMullen,128.53
Madison,35.16
Marion,9.94
Martin,35.55
Mason,23.69
Matagorda,24.43
Maverick,13.74
Medina,19.97
Menard,0
Midland,23.02
Milam,31.93
Mills,20.32
Mitchell,35.43
Montague,30.71
Montgomery,27.85
Moore,22.63
Morris,24.06
Motley,0
Nacogdoches,30.5
Navarro,24.64
Newton,21.5
Nolan,40.62
Nueces,25.47
Ochiltree,49.64
Oldham,0
Orange,25.87
Palo Pinto,24.5
Panola,21.51
Parker,19.48
Parmer,20.32
Pecos,31.98
Polk,18.31
Potter,49.81
Presidio,55.9
Rains,8.5
Randall,23.06
Reagan,53.91
Real,58.33
Red River,16.35
Reeves,19.63
Refugio,27.69
Roberts,0
Robertson,34.88
Rockwall,27.9
Runnels,58.45
Rusk,18.93
Sabine,28.68
San Augustine,36.35
San Jacinto,10.61
San Patricio,23.8
San Saba,16.78
Schleicher,33.32
Scurry,35.19
Shackelford,30.05
Shelby,27.44
Sherman,32.61
Smith,39.52
Somervell,33.92
Starr,18.62
Stephens,32.13
Sterling,0
Stonewall,144.09
Sutton,79.64
Swisher,26.61
Tarrant,26.87
Taylor,38.15
Terrell,0
Terry,47.19
Throckmorton,65.49
Titus,30.39
Tom Green,25.42
Travis,23.8
Trinity,20.45
Tyler,23.21
Upshur,4.84
Upton,109.2
Uvalde,25.8
Val Verde,12.19
Van Zandt,19.93
Victoria,32.58
Walker,22.15
Waller,15.59
Ward,26.15
Washington,31.39
Webb,16.38
Wharton,28.59
Wheeler,74.65
Wichita,33.33
Wilbarger,54.84
Willacy,18.53
Williamson,21.19
Wilson,22.31
Winkler,39.61
Wise,16.62
Wood,24.82
Yoakum,46.69
Young,38.93
Zapata,20.95
Zavala,25.11
