STNAME,CTYNAME,POPESTIMATE2017
Alabama,Autauga County,55504
Alabama,Baldwin County,212628
Alabama,Barbour County,25270
Alabama,Bibb County,22668
Alabama,Blount County,58013
Alabama,Bullock County,10309
Alabama,Butler County,19825
Alabama,Calhoun County,114728
Alabama,Chambers County,33713
Alabama,Cherokee County,25857
Alabama,Chilton County,44067
Alabama,Choctaw County,12945
Alabama,Clarke County,24083
Alabama,Clay County,13367
Alabama,Cleburne County,14900
Alabama,Coffee County,51874
Alabama,Colbert County,54500
Alabama,Conecuh County,12469
Alabama,Coosa County,10754
Alabama,Covington County,37092
Alabama,Crenshaw County,13871
Alabama,Cullman County,82755
Alabama,Dale County,49226
Alabama,Dallas County,39215
Alabama,DeKalb County,71617
Alabama,Elmore County,81677
Alabama,Escambia County,37447
Alabama,Etowah County,102755
Alabama,Fayette County,16468
Alabama,Franklin County,31495
Alabama,Geneva County,26421
Alabama,Greene County,8330
Alabama,Hale County,14812
Alabama,Henry County,17147
Alabama,Houston County,104346
Alabama,Jackson County,51909
Alabama,Jefferson County,659197
Alabama,Lamar County,13946
Alabama,Lauderdale County,92538
Alabama,Lawrence County,33049
Alabama,Lee County,161604
Alabama,Limestone County,94402
Alabama,Lowndes County,10076
Alabama,Macon County,18755
Alabama,Madison County,361046
Alabama,Marengo County,19375
Alabama,Marion County,29833
Alabama,Marshall County,95548
Alabama,Mobile County,413955
Alabama,Monroe County,21327
Alabama,Montgomery County,226646
Alabama,Morgan County,118818
Alabama,Perry County,9339
Alabama,Pickens County,20176
Alabama,Pike County,33267
Alabama,Randolph County,22670
Alabama,Russell County,57045
Alabama,St. Clair County,88199
Alabama,Shelby County,213605
Alabama,Sumter County,12687
Alabama,Talladega County,80065
Alabama,Tallapoosa County,40681
Alabama,Tuscaloosa County,207811
Alabama,Walker County,64058
Alabama,Washington County,16531
Alabama,Wilcox County,10719
Alabama,Winston County,23722
Alaska,Aleutians East Borough,3370
Alaska,Aleutians West Census Area,5763
Alaska,Anchorage Municipality,294356
Alaska,Bethel Census Area,18076
Alaska,Bristol Bay Borough,867
Alaska,Denali Borough,2074
Alaska,Dillingham Census Area,4932
Alaska,Fairbanks North Star Borough,99703
Alaska,Haines Borough,2526
Alaska,Hoonah-Angoon Census Area,2145
Alaska,Juneau City and Borough,32094
Alaska,Kenai Peninsula Borough,58617
Alaska,Ketchikan Gateway Borough,13856
Alaska,Kodiak Island Borough,13448
Alaska,Kusilvak Census Area,8202
Alaska,Lake and Peninsula Borough,1620
Alaska,Matanuska-Susitna Borough,106532
Alaska,Nome Census Area,9921
Alaska,North Slope Borough,9782
Alaska,Northwest Arctic Borough,7684
Alaska,Petersburg Borough,3281
Alaska,Prince of Wales-Hyder Census Area,6443
Alaska,Sitka City and Borough,8689
Alaska,Skagway Municipality,1157
Alaska,Southeast Fairbanks Census Area,6888
Alaska,Valdez-Cordova Census Area,9278
Alaska,Wrangell City and Borough,2521
Alaska,Yakutat City and Borough,605
