CITY,STATE,STATE NAME,ZIP,COUNTY
AURORA,CO,Colorado,80045,ADAMS
HASTINGS,NE,Nebraska,68901,ADAMS
MIDDLEBURY,VT,Vermont,05753-4444,ADDISON
HAYWARD,CA,California,94545,ALAMEDA
HAYWARD,CA,California,94545,ALAMEDA
UNION CITY,CA,California,94587,ALAMEDA
CORINTH,MS,Mississippi,38834,ALCORN
CUMBERLAND,MD,Maryland,21502,ALLEGANY
PITTSBURGH,PA,Pennsylvania,15275,ALLEGHENY
PITTSBURGH,PA,Pennsylvania,15235,ALLEGHENY
WARRENDALE,PA,Pennsylvania,15086,ALLEGHENY
PITTSBURGH,PA,Pennsylvania,15275,ALLEGHENY
FORT WAYNE,IN,Indiana,46808,ALLEN
PALESTINE,TX,Texas,75801-4701,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
FRANKSTON,TX,Texas,75763,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
PALESTINE,TX,Texas,75801,ANDERSON
ANDREWS,TX,Texas,79714,ANDREWS
ANDREWS,TX,Texas,79714,ANDREWS
ANDREWS,TX,Texas,79714,ANDREWS
ANDREWS,TX,Texas,79774,ANDREWS
ANDREWS,TX,Texas,79714,ANDREWS
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
HUNTINGTON,TX,Texas,75949,ANGELINA
LUFKIN,TX,Texas,75901,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75901,ANGELINA
DIBOLL,TX,Texas,75941,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
HUNTINGTON,TX,Texas,75949,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75901,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75901,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
POLLOK,TX,Texas,75969,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904-3124,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75901,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
LUFKIN,TX,Texas,75904,ANGELINA
HANOVER,MD,Maryland,21076,ANNE ARUNDEL
ROCKPORT,TX,Texas,78382,ARANSAS
ROCKPORT,TX,Texas,78382,ARANSAS
ROCKPORT,TX,Texas,78382,ARANSAS
ROCKPORT,TX,Texas,78382,ARANSAS
ROCKPORT,TX,Texas,78382,ARANSAS
ROCKPORT,TX,Texas,78382,ARANSAS
ENGLEWOOD,CO,Colorado,80112,ARAPAHOE
ARCHER CITY,TX,Texas,76351,ARCHER
PAGOSA SPGS,CO,Colorado,81147,ARCHULETA
CLAUDE,TX,Texas,79019,ARMSTRONG
PRAIRIEVILLE,LA,Louisiana,70769,ASCENSION
LYTLE,TX,Texas,78052,ATASCOSA
PLEASANTON,TX,Texas,78064,ATASCOSA
POTEET,TX,Texas,78065,ATASCOSA
LYTLE,TX,Texas,78052,ATASCOSA
PLEASANTON,TX,Texas,78064,ATASCOSA
LYTLE,TX,Texas,78052,ATASCOSA
PLEASANTON,TX,Texas,78064-4033,ATASCOSA
