PHARMACY_NAME,CITY,STATE NAME,STATE,ZIP,COUNTY,R/U
BARNES AND WILLIAMS DRUG CENTER # 2,ABILENE,Texas,TX,79605,TAYLOR,URBAN
WALMART PHARMACY 10-1118,BALCH SPRINGS,Texas,TX,75180,DALLAS,URBAN
UNIVERSITY HEALTH SYSTEM - SW FAMILY HEA,SAN ANTONIO,Texas,TX,78237,BEXAR,URBAN
"HILLTOP PHARMACY, INC.",NEW BRAUNFELS,Texas,TX,78130,COMAL,URBAN
AMBER PHARMACY,FARMERS BRANCH,Texas,TX,75234,DALLAS,URBAN
RIPPETOE PHARMACY INC,BANGS,Texas,TX,76823,BROWN,RURAL
CVS/PHARMACY #17693,SPRING,Texas,TX,77389,HARRIS,URBAN
TJ BROTHERS PHARMACY,HOUSTON,Texas,TX,77099,HARRIS,URBAN
RAPID RX,LEWISVILLE,Texas,TX,75057,DENTON,URBAN
MEMORIAL HERMANN CONVENIENT CARE CENTER,KINGWOOD,Texas,TX,77345,HARRIS,URBAN
COVENANT REGIONAL PHARMACY,LUBBOCK,Texas,TX,79410,LUBBOCK,URBAN
TEXAS ONCOLOGY PHARMACY-NORTH AUSTIN,AUSTIN,Texas,TX,78758,TRAVIS,URBAN
"COMMUNITY, A WALGREENS PHARMACY #16505",FORT WORTH,Texas,TX,76104,TARRANT,URBAN
CVS/PHARMACY #10597,SAN ANTONIO,Texas,TX,78224,BEXAR,URBAN
CVS/PHARMACY #16933,TEXARKANA,Texas,TX,75503,BOWIE,URBAN
CVS/PHARMACY #17234,BROWNSVILLE,Texas,TX,78526,CAMERON,URBAN
CVS/PHARMACY #16021,LUBBOCK,Texas,TX,79423,LUBBOCK,URBAN
TEXAS ONCOLOGY PHARMACY-SW FORT WORTH,FORT WORTH,Texas,TX,76132,TARRANT,URBAN
CVS/PHARMACY #16559,SELMA,Texas,TX,78154,GUADALUPE,URBAN
C. RICHARD STASNEY MEDICAL CLINIC PHARMA,HOUSTON,Texas,TX,77006,HARRIS,URBAN
CVS/PHARMACY # 16769,HOUSTON,Texas,TX,77024,HARRIS,URBAN
CVS/PHARMACY #16238,SAN ANTONIO,Texas,TX,78224,BEXAR,URBAN
CVS/PHARMACY # 17438,HARKER HTS,Texas,TX,76548,BELL,URBAN
CVS/PHARMACY #17420,MAGNOLIA,Texas,TX,77354,MONTGOMERY,URBAN
