Rank,Name,Land Area (mi2),Population Density (mi2),Total Area (mi2)
1,Brewster,"6,183.70",1.5,"6,192.30"
2,Pecos,"4,763.90",3.3,"4,764.80"
3,Hudspeth,"4,571.00",0.8,"4,571.80"
4,Presidio,"3,855.20",2,"3,855.90"
5,Culberson,"3,812.80",0.6,"3,813.00"
6,Webb,"3,361.50",74.5,"3,375.60"
7,Val Verde,"3,144.80",15.5,"3,232.70"
8,Crockett,"2,807.30",1.3,"2,807.30"
9,Reeves,"2,635.40",5.2,"2,642.10"
10,Terrell,"2,358.00",0.4,"2,358.10"
11,Jeff Davis,"2,264.60",1,"2,264.60"
12,Edwards,"2,117.90",0.9,"2,119.90"
13,Duval,"1,793.50",6.6,"1,795.60"
14,Harris,"1,703.50","2,402.40","1,777.50"
15,Hidalgo,"1,570.90",493.2,"1,582.90"
16,Uvalde,"1,552.00",17,"1,558.60"
17,Tom Green,"1,522.00",72.4,"1,540.50"
18,Dallam,"1,503.30",4.5,"1,505.30"
19,Gaines,"1,502.40",11.7,"1,502.90"
20,Andrews,"1,500.70",9.9,"1,501.10"
21,Oldham,"1,500.50",1.4,"1,501.40"
22,Deaf Smith,"1,496.90",12.9,"1,498.40"
23,La Salle,"1,486.70",4.6,"1,494.20"
24,Hartley,"1,462.00",4.1,"1,463.20"
25,Kenedy,"1,458.30",0.3,"1,945.80"
26,Sutton,"1,453.90",2.8,"1,454.40"
27,Kinney,"1,360.10",2.6,"1,365.10"
28,Brazoria,"1,357.70",230.7,"1,608.60"
29,Dimmit,"1,328.90",7.5,"1,334.50"
30,Medina,"1,325.40",34.7,"1,334.50"
31,Schleicher,"1,310.60",2.6,"1,310.70"
32,Zavala,"1,297.40",9,"1,301.70"
33,Maverick,"1,279.30",42.4,"1,291.80"
34,Coleman,"1,262.00",7,"1,281.40"
35,Kimble,"1,251.00",3.7,"1,251.20"
36,Upton,"1,241.30",2.7,"1,241.50"
37,Bexar,"1,239.80","1,383.10","1,256.10"
38,Houston,"1,230.90",19.3,"1,236.60"
39,Starr,"1,223.20",49.8,"1,229.10"
40,Atascosa,"1,219.50",36.8,"1,221.50"
41,Reagan,"1,175.30",2.9,"1,176.00"
42,Liberty,"1,158.40",65.3,"1,176.30"
43,McMullen,"1,139.40",0.6,"1,156.80"
44,Jim Hogg,"1,136.10",4.7,"1,136.20"
45,San Saba,"1,135.30",5.4,"1,138.40"
46,Frio,"1,133.50",15.2,"1,134.30"
47,Williamson,"1,118.30",378,"1,134.40"
48,Kerr,"1,103.30",45,"1,107.30"
49,Matagorda,"1,100.30",33.4,"1,612.50"
50,Clay,"1,088.70",9.9,"1,116.80"
51,Wharton,"1,086.20",38,"1,094.40"
52,Erath,"1,083.10",35,"1,089.80"
53,Leon,"1,073.20",15.7,"1,080.60"
54,Gonzales,"1,066.70",18.6,"1,069.90"
55,McCulloch,"1,065.60",7.8,"1,073.40"
56,Anderson,"1,062.60",55,"1,078.00"
57,Gillespie,"1,058.20",23.5,"1,061.70"
58,Polk,"1,057.10",43,"1,109.70"
59,Cherokee,"1,052.90",48.3,"1,062.20"
60,Coryell,"1,052.10",71.7,"1,056.80"
61,Irion,"1,051.60",1.5,"1,051.60"
62,Bell,"1,051.00",295.2,"1,087.80"
63,Runnels,"1,051.00",10,"1,057.10"
64,Montgomery,"1,041.70",437.5,"1,076.90"
65,Live Oak,"1,039.70",11.1,"1,078.90"
66,McLennan,"1,037.10",226.5,"1,060.20"
67,Red River,"1,036.60",12.4,"1,056.70"
68,Milam,"1,016.90",24.3,"1,021.80"
69,Lamb,"1,016.20",13.8,"1,017.70"
70,El Paso,"1,012.70",790.6,"1,015.00"
71,Navarro,"1,009.60",47.3,"1,085.90"
72,Hale,"1,004.70",36.1,"1,004.80"
73,Zapata,998.4,14,"1,058.00"
74,Burnet,994.3,43,"1,021.30"
75,Floyd,992.1,6.5,992.5
76,Travis,990.2,"1,034.40","1,023.00"
77,Motley,989.6,1.2,989.8
78,Concho,983.8,4.2,993.7
79,Bosque,983,18.5,"1,002.50"
80,Wilbarger,970.8,13.9,977.9
81,Lavaca,969.7,19.9,970.4
82,Colorado,960.3,21.7,973.7
83,Hill,958.9,36.6,985.7
84,Palo Pinto,951.8,29.5,985.5
85,Fayette,950,25.8,959.8
86,Nacogdoches,946.5,68.2,981.2
87,Brown,944.4,40.3,957
88,Brooks,943.4,7.7,943.7
89,Jasper,938.9,38,969.7
90,Comanche,937.8,14.9,947.7
91,Cass,937,32.5,960.3
92,Ellis,935.5,159.9,951.7
93,Llano,934,20.7,965.9
94,Newton,933.7,15.5,939.7
95,Grayson,932.8,129.6,979.2
96,Lipscomb,932.2,3.5,932.3
97,Montague,930.9,21.2,938.3
98,Mason,928.8,4.3,932.2
99,Jones,928.6,21.8,937.1
100,Donley,926.9,4,933
101,Eastland,926.5,20.1,931.9
102,Gray,926,24.3,929.3
103,Tyler,924.5,23.5,935.6
104,Roberts,924.1,1,924.2
105,Rusk,924,57.7,938.4
106,Sterling,923.5,1.2,923.5
107,Sherman,923,3.3,923.2
108,Smith,921.5,227.6,949.7
109,Carson,920.2,6.7,924.1
110,Hansford,919.8,6.1,920.4
111,Collingsworth,918.4,3.3,919.3
112,Ochiltree,917.6,11.1,918.1
113,Stonewall,916.3,1.6,920.2
114,Taylor,915.6,143.6,919.3
115,Martin,914.9,5.2,915.7
116,Wheeler,914.5,5.9,915.5
117,Young,914.5,20.3,930.9
118,Shackelford,914.3,3.7,915.5
119,Throckmorton,912.6,1.8,915.5
120,Nolan,912,16.7,913.9
121,Randall,911.5,132.4,922.4
122,Coke,911.5,3.6,928
123,Mitchell,911.1,10.3,915.9
124,King,910.9,0.3,913.3
125,Jack,910.7,9.9,920.1
126,Armstrong,909.1,2.1,913.8
127,DeWitt,909,22.1,910.5
128,Hockley,908.4,25.2,908.6
129,Potter,908.4,133.3,922
130,Lamar,907.2,54.9,933.1
131,Hemphill,906.3,4.2,912.2
132,Scurry,905.4,18.7,907.5
133,Limestone,905.3,25.8,933.2
134,Wise,904.4,65.4,922.6
135,Parker,903.5,129.4,910.1
136,Haskell,903.1,6.5,910.3
137,Archer,903.1,10,925.4
138,Kent,902.5,0.9,902.9
139,Menard,902,2.5,902.3
140,Dickens,901.7,2.7,905.2
141,Howard,900.8,38.9,904.2
142,Cottle,900.6,1.7,901.6
143,Dawson,900.3,15.4,902.1
144,Midland,900.3,152,902.1
145,Glasscock,900.2,1.4,901.1
146,Crosby,900.2,6.7,901.7
147,Briscoe,900,1.8,901.6
148,Harrison,900,72.9,915.8
149,Moore,899.7,24.3,909.6
150,Callahan,899.4,15.1,901.3
151,Fisher,898.9,4.4,901.8
152,Ector,897.7,152.8,901.8
153,Borden,897.4,0.7,906.1
154,Stephens,896.7,10.7,921.5
155,Lubbock,895.6,311.3,900.7
156,Castro,894.4,9,899.3
157,Garza,893.4,7.2,896.2
158,Lynn,891.9,6.6,893.5
159,Cameron,890.9,456,"1,276.50"
160,Fannin,890.8,38.1,898.9
161,Hardin,890.6,61.3,897.6
162,Swisher,890.2,8.8,900.7
163,Terry,888.8,14.2,890.9
164,Bastrop,888.2,83.5,895.5
165,Hutchinson,887.4,25,895
166,Bowie,885,104.6,923
167,Hall,883.5,3.8,904.1
168,Victoria,882.1,98.4,888.8
169,Kleberg,881.3,36.4,"1,090.20"
170,Parmer,880.8,11.7,885.2
171,Bee,880.2,36.2,880.3
172,Denton,878.4,754.3,953
173,Freestone,877.7,22.6,892
174,Jefferson,876.3,287.9,"1,112.60"
175,Cooke,874.8,43.9,898.4
