ank,County,Population,Pharmacy Count
1,HARRIS,4525519,1416
2,DALLAS,2552213,740
3,TARRANT,1983675,552
4,BEXAR,1892004,471
5,TRAVIS,1176584,292
6,COLLIN,914075,288
7,HIDALGO,839539,183
8,EL PASO,834825,175
9,DENTON,781321,198
10,FORT BEND,711421,243
11,MONTGOMERY,535187,159
12,WILLIAMSON,508313,116
13,CAMERON,420201,97
14,NUECES,358484,92
15,BRAZORIA,345995,103
16,BELL,336506,59
17,GALVESTON,321184,87
18,LUBBOCK,298042,93
19,WEBB,269624,45
20,JEFFERSON,254574,86
21,MCLENNAN,245720,58
22,SMITH,222277,90
23,BRAZOS,214231,55
24,HAYS,194843,50
25,ELLIS,164092,39
26,JOHNSON,160173,39
27,MIDLAND,159883,38
28,ECTOR,155744,38
29,GUADALUPE,150889,24
30,TAYLOR,135371,52
31,WICHITA,131778,44
32,RANDALL,130552,31
33,COMAL,129100,42
34,GRAYSON,126146,47
35,PARKER,125963,26
36,GREGG,123402,45
37,POTTER,121230,60
38,TOM GREEN,116906,30
39,KAUFMAN,114852,23
40,BOWIE,93635,36
41,VICTORIA,91518,30
42,ROCKWALL,90414,27
43,HUNT,90322,24
44,ANGELINA,87700,27
45,ORANGE,83909,22
46,BASTROP,80306,15
47,LIBERTY,79884,20
48,HENDERSON,79687,18
49,CORYELL,75818,12
50,WALKER,70818,16
51,SAN PATRICIO,66867,16
52,HARRISON,66606,12
53,NACOGDOCHES,65411,20
54,STARR,63420,12
55,WISE,63247,11
56,ANDERSON,57747,12
57,MAVERICK,57471,8
58,HARDIN,55993,15
59,HOOD,55418,13
60,VAN ZANDT,53607,11
61,RUSK,53026,10
62,CHEROKEE,51594,15
63,KERR,50761,16
64,LAMAR,49401,19
65,VAL VERDE,48976,6
66,MEDINA,48548,10
67,WALLER,48443,8
68,NAVARRO,48239,12
69,ATASCOSA,48139,13
70,WILSON,47205,11
71,POLK,46974,9
72,BURNET,45017,14
73,WOOD,43315,11
74,WHARTON,41430,12
75,JIM WELLS,41318,9
76,ERATH,41016,11
77,CALDWELL,40544,10
78,UPSHUR,40506,2
79,KENDALL,40306,13
80,CHAMBERS,39283,9
81,COOKE,39064,11
82,BROWN,37787,15
83,MATAGORDA,36744,9
84,HOWARD,36491,10
